label;text
1;Klasická smaženice
1;Brambory pečené v soli
1;Cuketové placky s medovou zálivkou
0;Žebra v toskánském stylu
1;Pečené bylinkové brambory
0;Telecí kuličky s mozzarellovou náplní
1;Cuketové placky s čatní a mozzarellou
0;Vídeňský řízek musí být z telecího
1;Cibulové kroužky
1;Těstoviny po benátsku
1;Raclette
1;Zelné palačinky
1;Restovaná zelenina s cizrnou
0;Králík na hořčici
1;Chlupaté knedlíky se zelím a cibulkou
1;Penne ricce s cibulí
1;Rýžová kaše s granátovým jablkem
0;Králík načerno s krupicovými noky
0;Základní hovězí ragú
1;Houbová omáčka podle šéfkuchaře Ondřeje Slaniny
1;Okurky po sečuánsku
1;Čatní
0;Šunkové hamburgry
1;Kapsy se špenátem a fetou
1;Kokosové nudle
1;Zelený chřest s parmskou šunkou
1;Nadýchaný houbovec
1;Pečená zelenina
0;Hovězí klobásky Františka Kšány ml.
1;Conchiglie s rajčaty a citronem
1;Smetanová houbová omáčka
0;Dušené hovězí s fazolovou kaší
1;Pečená ricotta s parmazánem
0;Savojský kuřecí řízek a lehký bramborový salát s rajčaty
0;Manty po ukrajinsku
1;Tofu pomazánka s mořskou řasou wakame
0;Králík cibulář
0;Lepkavá pečená žebírka
1;Zastřená vajíčka na bagetě
0;Jehněčí pilaf s cizrnou
0;Jehněčí krk pečený na másle s bramborami
0;Játra na roštu
0;Grilovaný rib eye steak
1;Míchaná vejce s karamelizovanou čekankou
0;Pomalu pečené vepřové ramínko po korejsku
0;Steak s ředkvičkami a chimichurri z ředkvičkových listů
1;Tousty s kořeněným lilkem
1;Zapečené smetanové brambory s tuňákem a sušenými rajčaty
0;Vepřové maso s nudlemi po asijsku
0;Hovězí žebro BBQ s celerovým salátem
1;Fondue s růžičkovou kapustou
1;Cuketová nádivka
1;Bramboráky s matjesem podle Marty Spurné
1;Pečené brambory s křenem
0;Kebab se slaninou
1;Smažené žitné placky se sýrem
1;Zlatavý kozí sýr s jablíčky
1;Rýžové smažené krokety
1;Herr Metalín
1;Zapečená ciabatta se žampiony
0;Jemné vepřové proužky
1;Nakládaný sýr
1;Amatriciana se zeleninou
1;Krémové zeleninové rizoto
1;Mar hor pro vegetariány
1;Květ z cibule pro nočňátka
1;Fenykl s rajčaty a bílým vínem
0;Králík marinovaný v červeném víně
0;Telecí řízek
0;Telecí steaky se sýrem a rajčaty
0;Terijaki žebírka s rýží a nakládanou zeleninou
0;Daňčí závitek po znojemsku
0;Picanha v cajunském koření s fazolovým salátem
1;Bramborová tortilla
1;Pečené nové brambory s pikantní zakysanou smetanou
1;Dokonalá vaječná omeleta
0;Terina z hovězí oháňky
1;Květákové 
0;Telecí hřebínek s bylinkovou krustou
1;Mexické závitky s chilli
0;Nádivka z vinné klobásy a šalvěje
1;Cibulové kroužky s chilli a se solí
0;Vepřová pečínka
0;Játrové knedlíčky
1;Tofu burger s relishem a salátem tabbouleh
0;Španělský ptáček à la chlebíček
0;Vepřové kotlety na cideru s jablky a celerem
1;Špalda se zeleninou a zálivkou s tahini
1;Běloruský cladnik
0;Masopustní jednohubky ( minikobližky)
0;Pečené vepřové kotlety s mangovými knedlíčky 
1;Zapečený pórek
1;Vejce v bramboráku
1;Makarony se žampionovou omáčkou
1;Piniové palačinky
1;Krémové kari s lilkem
1;Škubánky
0;Telecí se zeleninou na šalvěji
0;Fajitas
1;Mango s jogurtem a chilli polevou
1;Pečené brambory a tvarohovo-cottagový dip
1;Mrkev s cizrnou po marocku
1;Moderní pohankovo-pšeničné bliny
0;Uzený rostbíf
0;Pečené selátko s jablečnou omáčkou
1;Cheesecake s makovými krekry
1;Chleba s houbami a olivovou gremolatou
0;Zvěřina po burgundsku
0;Rozpadavá žebírka glazovaná bourbonem
0;Kukuřičné hotdogy v indiánském stylu
1;Rychlé marocké masové kuličky
0;Špízy z panenky s fazolkami
0;Steaky s nízkého roštěnce se žampiony
0;Vydatné chili con carne
1;Bramborové 
0;VIDEO: Svíčková pečeně
1;Polentové hranolky s olivami a s aïoli
0;Vepřové roládky s omáčkou a česnekovými bramborami
0;Steak s omáčkou salmoriglio
0;Polévka z pštrosího krku
1;Carbonara s cuketami
1;Tapenáda s parmazánovou ciabattou a mozzarellou
0;Jehněčí tažín s batáty a datlemi
0;Džuveč s lilkem
0;Kuře dušené na červeném víně
1;Mrkvovo-kapustové karbanátky
1;Pizza ze špagetové dýně
1;Ztracená vejce s chorizem a špenátem
1;Základné rizoto z rúry
1;Špaldoto s koprovým pestem
1;Horká rajčata na vychlazeném jogurtu a chléb lavaš
0;Vepřové kotlety s hruškami
0;Burger Hawai
1;Křupavé brambory s vejci z bistra
1;pepper
0;Králičí marinované řízky
0;Naan pizza s mletým masem
0;Hovězí srdíčko na houbách a škvarkové brambory
1;Quinoové placičky s jogurtovým dipem
0;Štěpánská hovězí pečeně
0;Masová trojctihodná nádivka
0;Pečená šunka na cideru s kadeřávkem
1;Rychlá karamelizovaná brokolice
0;Párečkové špízy s medovo-harissovou glazurou
0;Vepřová plec s parmazánovou omáčkou
0;Hovězí líčka na tymiánu a šalvěji
1;Pečená kořenová zelenina
0;Nadívaný vepřový bůček
0;Jemné krůtí kari
1;Bramborák
1;Pomeranče & ředkvičky se skořicí
0;Maso a pivo
0;Králičí stehna na paprice s máslovým knedlíkem
1;Červené zelí dušené v troubě
1;Zelenina s pažitkovým dipem
0;Burgery à la salát Caesar
1;Bramborová smaženka s parmazánem
1;Marinované olivy s fenyklem
0;London particular
0;Jehněčí kotlety s hráškem a fetou
1;Grilovaná zelenina a bulgur
1;Jahody na kozím sýru
1;Penne all’arrabbiata po trentinsku
1;Pikantní pánev z červených cibulí
1;Povidlové tašky z bramborového těsta
1;Rizoto s cuketou a gorgonzolou
0;Vepřové špízky s pastiňákovým pyré
0;Hovězí maso se sezamem
1;Rozhuda s pažitkou
0;Hovězí pečeně s hořčično-křenovou šťávou
0;Burger s masovými závitky
1;Parmigiana - italský zapečený lilek (odlehčená verze)
1;Lilek s parmazánem
1;Letní omeleta
0;Šalfdorská pečínka
1;Jablka v karamelu
0;Vepřový řízek s polníčkovým salátem
0;Utopenci s česnekem
0;Pečená vepřová kýta
1;Kaše s hráškem
0;Vepřové kotletky v cidru se šalvějí a jablky
0;Hovězí na víně
0;Maiale tonnato
1;Pikantní zelné placky tepla
1;Svítek
1;Ruské bliny
0;Karamelizovaná žebírka s arašídovým máslem
1;Marocký dýňový kotlík
1;Hlívové ragú s krémovou polentou
1;Dokonalá milionářská vejce s chřestem
1;Radiatorri s fenyklem
1;Placičky s cottagem
0;Smažená játra s paprikami
1;Glazované karotky
1;Anglická snídaně
1;Duhové rolky
0;Carpaccio & tartar z hovězího masa
1;Opékaný sýrový knedlík ve vývaru
0;Hřejivý páj s mletým masem a sýrovou kaší
0;Zapečené veprové s brambory
1;Celerový krém s hříbky
1;Smažené sýrové jednohubky
1;Francouzské brambory s klobásou
0;Carpaccio z opečeného hovězího s křenovou smetanou
0;Starodávná hovězí pečeně na kávě
0;cocka
1;Jáhelné rizoto s houbami a tymiánem
0;Jednohubky s uzeným sýrem
1;3x ovocné smoothie
1;Grilovaná polenta
0;thajské recepty
1;Tyrolské knedlíčky se špenátem a gruyérem
1;Vejce v listovém košíku
0;Pečené hovězí & vepřové maso
1;Snídaně
1;Zapečený letní květák
1;Vajíčka po italsku
1;Mrkvová terina
1;Rýžová zmrzlina s medovými hruškami
0;Hovězí empanadas
0;Chili con carne s domácími pečenými fazolemi
0;Asijské kuličky s nudlovým salátem
1;Pečené brambory s rozmarýnem
0;Hovězí na česneku
0;Šunkový špíz s ananasem a sladkými bramborami
1;Omáčka ravigote
0;Vepřové plátky na houbách
0;Telecí scaloppini na marsale a smetaně
1;Zapečená mrkev s mákem
1;Omeleta k snídani
0;Svíčková espuma & pečený karlovarský knedlík podle šéfkuchaře
0;Pečená krkovička s jeřabinovou šťávou
0;Kotletky se šalotkami
0;Čevabčiči s pečeným rajčetem a paprikou
1;Marinovaný kozí sýr
0;Filipínské hovězí mechado
0;Hot dog s pivní cibulkou
0;Mapo tofu
0;Cikánská v žemli
1;Nové brambory s máslem a tvarohem s pažitkou
1;Omeleta s chipolatou & jarní cibulkou
0;Šťavnatá vepřová panenka
1;Houby po asijsku
1;Bylinkový bramborový salát
0;Živáňská jehla
0;Šťavnatá dušená divočina
0;Snadné hamburgery
0;Vepřové souvlaki
0;Navarin
0;Tagliata s olivovou salsou
1;Houbové pirožky s lučinou
0;Vánoční zelňačka
1;První dhal
1;Tofu kari
1;Dýně plněná pilafem
1;Jogurtový krém s ovocem
1;Lilek na grilu s houbami a omáčkou z podmáslí
0;Pomalu pečená jehněčí kýta se zeleninou
0;Pečená krkovice s jablečno-šalvějovou omáčkou a zelným salátem
1;Těstoviny se smetanou
1;Pečené batáty s harissovým jogurtem
1;Lečo pirohy
1;Kyprá zlatá rýže
0;Burgerdog plněný sýrem
1;Hráškové 'rizoto'
0;Steak s omáčkou z červeného vína
0;Kančí na víně se švestkami a hrozny
1;Tvarůžkový tatarák
0;Králík se slaninou
0;Hovězí bourguignon
0;Kofty s tahini omáčkou a květákovou rýží
1;Cuketové placičky s dipem
1;Ovocné domácí čatní
1;Brambory na loupačku s omáčkou pebre
0;Pečená panenka plněná sušeným ovocem
1;Gratinovaná dýně se šalvějí
0;Jadranská musaka
0;Uzená krkovička na cibulce
1;Smažená rýže natural s kokosovou omáčkou
1;Bramborová omeleta
1;Chřest s křupavou krustou
1;Nové brambory s ochuceným máslem
0;Pikantní žebírka
0;Ossobuco se šalvějí
0;Hoisin burger
1;Kořeněná brokolice
1;Pastinákové bramboráčky
0;Vepřové kotlety na špenátových lístcích
0;Rajčatová polévka s telecím a gremolatou
1;Snídaňové misky s červenou řepou a halloumi
1;Kedgeree
0;Kapří kuličky
0;Zelný závin s uzeným masem
1;Zapečený camembert s banketkami
1;Smažená dýně s rozinkami a piniovými oříšky
1;Vepřové maso
0;Pečené vepřové s jablečným salátem
0;Carpaccio
1;Houbové rizoto z trouby
0;Kebab s barbecue omáčkou
0;Rychlé a šťavnaté hovězí
1;Omeleta s parmazánem
1;Parmazánové brambory
0;Grilované vepřové ramínko
1;Cuketové placičky s haloumi
0;Gratinovaní šneci
1;Bramboraky ze sucheho chleba
1;Bramboráky z červené řepy
0;Italská vepřová roláda plněná čerstvou klobáskou
0;Vepřové v mléce
1;Krém z modrého sýra
1;Bretaňské palačinky s jablky a tvarohem
1;Grilované cukety
1;Zeleninová tempura s ochucenou majonézou
0;Kachna na jablkách a hroznech
1;Rančerská vejce
1;Domácí sýr
1;Ovocný salát s melounem a vanilkou
1;Halloumi pečený ve vinných listech
1;Červenořepný dhal s cizrnovými plackami
1;Kořeněná indická rýže
1;Pohanka s žampiony a cherry rajčaty
1;Plněné medailonky v sýrovém těstíčku
0;Tradiční segedínský guláš
0;Kouřové pečené vepřové s fazolemi
0;Mexické placky s vepřovým masem
1;Zapečené palačinky s houbami a cuketou
0;Klobásky Cumberland Christophera Robertsona
1;Sýr čedar
1;Smažená květenství - kosmatice
0;Švédské masové kuličky
1;Miniburgery s žampiony
0;Vietnamské letní závitky
1;Jednoduchý bílý chřest
1;Dýňové rizoto z listopadového čísla Apetitu
1;Letní veganské závitky
0;Ditiny opilé řízky
0;Telecí řízek s quinoou
1;Květákové kari s kokosovým mlékem
0;Mexické koule s rajčatovou omáčkou a sýrem
1;Bramborové pusinky
0;Noky s houbami a medailonky z panenky
1;Pao-c’ (baozi)
0;Hovězí burger s pažitkovým dipem
1;Schug
1;Lilkové pyré s kouřovou příchutí
1;Bloody mary
0;Miniburgery s rostbífem
1;Dvakrát pečené plněné sladké brambory
1;Penne s houbami a speckem
0;Uzené maso s třešňovou zavařeninou
0;Pomalu pečená vepřová krkovice na zelí
0;Kanec se šípkovou omáčkou
1;Sýrové prsty
1;Enchiladas se špenátem
0;Vařené hovězí žebro s hrachovou kaší
0;Kari s vepřovo-krevetovými masovými kuličkami
0;Argentinský steak s marinádou chimichurri
0;Zvěřinové klobásy zapečené v těstíčku
1;Grilovaná polenta s balzamikovými houbami
0;Hovězí nudličky po čínsku
1;Jemný ořechový knedlík s pastinákem
0;Trhané vepřové s mangem a kokosovou rýží
0;Uzená krkovička a kuřecí paličky nadivoko
0;Jehněčí na bylinkách
0;Játra s křenovo-kmínovou kaší
0;Klasický rostbíf
1;Brambůrky s česnekovým máslem a dvojí hrášek s jarní cibulkou
1;Indické květákové kari (žluté) s hráškem
0;Pomalu pečená jehněčí kýta na česneku s kaší
0;Vepřová pečeně s kořenovou zeleninou
1;Nočky se dvěma druhy sýra a slaninou
1;Celerová remuláda na topinkách z českého chleba
0;Krkovička z trouby
0;Nejlepší bún chả
1;Jednoduché a rychlé bramboráky
1;Letní zelenina se šunkou a polentou
1;Růžovky na kmíně
0;Zapékané kotlety se smetanou a houbami 
0;Líčka na víně
0;Hovězí carpaccio s nakládanými citrony a kapary
1;Houbový závin s vejcem
1;Zapečený lilek s mozarellou a parmezánem
1;Vejce naměkko s toustíky
1;Křupavé prstíky s kozím sýrem a mátou
1; Španělská tortilla de patatas
0;Záhorácký závitek
0;Kapustové karbanátky s jablečnou kaší
1;Pálivý smažený sýr
1;Kokosové kari s tofu
1;Plněné cuketové soudky
0;Biftek s třešněmi a gorgonzolou
0;Hovězí oháňka na víně
1;Pečené brambory s oháňkou
0;Luxusní sekaná
0;Dušené hovězí s koprem a s dýňovými noky
0;Červené kari s květákem a kokosovým mlékem
1;Bramborovo-batátové pyré
0;Jelení wellington s rybízovou omáčkou
1;Pečené batáty s cizrnou
1;Nakládaný hermelín s česnekem
1;Špenát s bramborami
1;Pečené ovoce v jogurtu
1;Nivové koule
1;Bramborové šišky
1;Mrkvová majonéza v jablku
0;Vepřové maso po asijsku s houbami šiitake
1;Letní ovoce v čokoládě
0;Rostbíf na grilu se dvěma omáčkami
1;Domácí müsli s jogurtem a ovocem
0;Hrachovo-bramborová kaše podle Viléma Vrabce
0;Pečené kotlety se smetanovým kedlubnovým zelím
1;Plněné vejce s lososem
0;Záhoráky se zelím
0;VIDEO: Nadýchané řízky
0;Jordánské plněné vinné listy s omáčkou a jehněčími kotletkami
1;Štědrovečerní kuba
1;Plněné avokádo
